country,platform,category,chart_type,app_id,app_name,prev_rank,curr_rank,delta_rank,status
US,google_play,browser,top_grossing,com.openai.chatgpt,ChatGPT,2,2,0,unchanged
US,google_play,browser,top_grossing,com.einnovation.temu,Temu: Shop Like a Billionaire,3,3,0,unchanged
US,google_play,browser,top_grossing,com.tiktok.lite.go,TikTok Lite - Faster TikTok,4,4,0,unchanged
US,google_play,browser,top_grossing,com.zhiliaoapp.musically,"TikTok - Videos, Shop & LIVE",,5,,new
US,google_play,browser,top_grossing,com.whatsapp,WhatsApp Messenger,6,6,0,unchanged
US,google_play,browser,top_grossing,com.microsoft.copilot,​​Microsoft Copilot,7,7,0,unchanged
US,google_play,browser,top_grossing,com.instagram.android,Instagram,8,8,0,unchanged
US,google_play,browser,top_grossing,com.zzkko,SHEIN-Shopping Online,9,9,0,unchanged
US,google_play,browser,top_grossing,com.squareup.cash,Cash App,,10,,new
CA,app_store,books,top_free,com.audible.iphone,Audible: Audiobooks & Podcasts,,1,,new
CA,app_store,books,top_free,com.overdrive.dewey,"Libby, the library app",,2,,new
CA,app_store,books,top_free,com.amazon.Lassen,Kindle,3,3,0,unchanged
CA,app_store,books,top_free,com.goodreads.Goodreads,Goodreads: Book Tracker & More,4,4,0,unchanged
CA,app_store,books,top_free,co.fable.Fable,Fable: Track & Discuss Books,5,5,0,unchanged
CA,app_store,books,top_free,com.hoopladigital.hoopla,Hoopla Digital,,6,,new
CA,app_store,books,top_free,com.gnovel.originalstation,"GoodNovel - Booktok, Stories",,7,,new
CA,app_store,books,top_free,com.fivemobile.wattpad,Wattpad - Read & Write Stories,8,8,0,unchanged
CA,app_store,books,top_free,com.shortcovers.shortcovers,Kobo Books & Audiobooks,9,9,0,unchanged
CA,app_store,books,top_free,com.quran.ios,Quran - by Quran.com - قرآن,,10,,new
CA,google_play,books,top_free,com.anthropic.claude,Claude by Anthropic,1,1,0,unchanged
CA,google_play,books,top_free,com.openai.chatgpt,ChatGPT,2,2,0,unchanged
CA,google_play,books,top_free,com.einnovation.temu,Temu: Shop Like a Billionaire,3,3,0,unchanged
CA,google_play,books,top_free,com.zhiliaoapp.musically,TikTok,4,4,0,unchanged
CA,google_play,books,top_free,digital.rbi.timhortons,Tim Hortons,5,5,0,unchanged
CA,google_play,books,top_free,com.whatsapp,WhatsApp Messenger,6,6,0,unchanged
CA,google_play,books,top_free,com.microsoft.office.word,Microsoft Word: Edit Documents,7,7,0,unchanged
CA,google_play,books,top_free,com.microsoft.teams,Microsoft Teams,8,8,0,unchanged
CA,google_play,books,top_free,com.azure.authenticator,Microsoft Authenticator,9,9,0,unchanged
CA,google_play,books,top_free,com.lemon.lvoverseas,CapCut: Photo & Video Editor,10,10,0,unchanged
CA,app_store,books,top_paid,com.maplepop.bmsea,MapleRead SE,1,1,0,unchanged
CA,app_store,books,top_paid,com.palreader.biblerussianaudiorus,Библия (текст и аудио)(audio)(Russian Bible),2,2,0,unchanged
CA,app_store,books,top_paid,tw.org.twgbr.iHymn,電子詩歌,3,3,0,unchanged
CA,app_store,books,top_paid,com.timbueno.boundapp,Bound - Audiobook Player,,4,,new
CA,app_store,books,top_paid,com.MotoJitsu.Books,MotoJitsu,5,5,0,unchanged
CA,app_store,books,top_paid,com.mirrorword.mirrorbible,Mirror Study Bible,6,6,0,unchanged
CA,app_store,books,top_paid,com.artscroll.SAEEI,ArtScroll Smart Siddur סדור,7,7,0,unchanged
CA,app_store,books,top_paid,fr.islamobile.assirah,As-Sira : Prophète Mohamed,8,8,0,unchanged
CA,app_store,books,top_paid,com.liuhdevelop.diary,轻日记-记事本.备忘录.便签.待办,9,9,0,unchanged
CA,app_store,books,top_paid,com.decaladan.focal,Focal reading,10,10,0,unchanged
CA,google_play,books,top_paid,com.fulldive.extension.fullroid.pro,Pro Emulator for Game Consoles,1,1,0,unchanged
CA,google_play,books,top_paid,com.monashuniversity.fodmap,Monash University FODMAP diet,2,2,0,unchanged
CA,google_play,books,top_paid,org.prowl.torque,Torque Pro (OBD 2 & Car),3,3,0,unchanged
CA,google_play,books,top_paid,com.appslab.glass.widgets,Glass Widgets,4,4,0,unchanged
CA,google_play,books,top_paid,net.dinglisch.android.taskerm,Tasker,5,5,0,unchanged
CA,google_play,books,top_paid,com.facer.pipboy_se,Fallout Pip-Boy SE Watch Face,6,6,0,unchanged
CA,google_play,books,top_paid,com.mvas.stb.emu.pro,StbEmu (Pro),7,7,0,unchanged
CA,google_play,books,top_paid,ch.threema.app,Threema. The Secure Messenger,8,8,0,unchanged
CA,google_play,books,top_paid,com.elf.koalasampler,Koala Sampler,9,9,0,unchanged
CA,google_play,books,top_paid,com.watchfacestudio.md307digital,MD307 Digital watch face,10,10,0,unchanged
CA,app_store,books,top_grossing,com.audible.iphone,Audible: Audiobooks & Podcasts,,1,,new
CA,app_store,books,top_grossing,com.gnovel.originalstation,"GoodNovel - Booktok, Stories",,2,,new
CA,app_store,books,top_grossing,org.reactjs.native.Inkitt.App.Colt,GALATEA: Novels & Audiobooks,3,3,0,unchanged
CA,app_store,books,top_grossing,com.dreame.reader,Dreame - Read Best Romance,4,4,0,unchanged
CA,app_store,books,top_grossing,com.scribd.iscribd,Everand: Audiobooks & Ebooks,5,5,0,unchanged
CA,app_store,books,top_grossing,com.viz.wsj,Shonen Jump Manga & Comics,,6,,new
CA,app_store,books,top_grossing,write.read.story.webnovel.book.anystories,AnyStories-Top Novels & Books,7,7,0,unchanged
CA,app_store,books,top_grossing,com.qvon.novelbar,NovelBar,8,8,0,unchanged
CA,app_store,books,top_grossing,com.qvon.novellair,Novellair,9,9,0,unchanged
CA,app_store,books,top_grossing,com.kw.literie,Literie,10,10,0,unchanged
CA,google_play,books,top_grossing,com.anthropic.claude,Claude by Anthropic,1,1,0,unchanged
CA,google_play,books,top_grossing,com.openai.chatgpt,ChatGPT,2,2,0,unchanged
CA,google_play,books,top_grossing,com.einnovation.temu,Temu: Shop Like a Billionaire,3,3,0,unchanged
CA,google_play,books,top_grossing,com.zhiliaoapp.musically,TikTok,4,4,0,unchanged
CA,google_play,books,top_grossing,digital.rbi.timhortons,Tim Hortons,5,5,0,unchanged
CA,google_play,books,top_grossing,com.whatsapp,WhatsApp Messenger,6,6,0,unchanged
CA,google_play,books,top_grossing,com.microsoft.office.word,Microsoft Word: Edit Documents,7,7,0,unchanged
CA,google_play,books,top_grossing,com.microsoft.teams,Microsoft Teams,8,8,0,unchanged
CA,google_play,books,top_grossing,com.azure.authenticator,Microsoft Authenticator,9,9,0,unchanged
CA,google_play,books,top_grossing,com.lemon.lvoverseas,CapCut: Photo & Video Editor,10,10,0,unchanged
CA,app_store,browser,top_free,com.google.GoogleMobile,Google,1,1,0,unchanged
CA,app_store,browser,top_free,com.google.chrome.ios,Google Chrome,2,2,0,unchanged
CA,app_store,browser,top_free,com.google.Authenticator,Google Authenticator,3,3,0,unchanged
CA,app_store,browser,top_free,ca.bell.selfserve.mybellmobile,MyBell,4,4,0,unchanged
CA,app_store,browser,top_free,com.rci.fivemobile.myaccount,MyRogers - Manage your account,5,5,0,unchanged
CA,app_store,browser,top_free,com.microsoft.msedge,Microsoft Edge: AI Browser,6,6,0,unchanged
CA,app_store,browser,top_free,com.nordvpn.NordVPN,NordVPN - VPN for privacy,7,7,0,unchanged
CA,app_store,browser,top_free,com.telus.myaccount,My TELUS,8,8,0,unchanged
CA,app_store,browser,top_free,uk.gov.HomeOffice.ho3,UK ETA,9,9,0,unchanged
CA,app_store,browser,top_free,com.rogers.ignitewifi,Rogers Xfinity,10,10,0,unchanged
CA,google_play,browser,top_free,com.anthropic.claude,Claude by Anthropic,1,1,0,unchanged
CA,google_play,browser,top_free,com.openai.chatgpt,ChatGPT,2,2,0,unchanged
CA,google_play,browser,top_free,com.einnovation.temu,Temu: Shop Like a Billionaire,3,3,0,unchanged
CA,google_play,browser,top_free,com.zhiliaoapp.musically,TikTok,4,4,0,unchanged
CA,google_play,browser,top_free,digital.rbi.timhortons,Tim Hortons,5,5,0,unchanged
CA,google_play,browser,top_free,com.whatsapp,WhatsApp Messenger,6,6,0,unchanged
CA,google_play,browser,top_free,com.microsoft.office.word,Microsoft Word: Edit Documents,7,7,0,unchanged
CA,google_play,browser,top_free,com.microsoft.teams,Microsoft Teams,8,8,0,unchanged
CA,google_play,browser,top_free,com.azure.authenticator,Microsoft Authenticator,9,9,0,unchanged
CA,google_play,browser,top_free,com.lemon.lvoverseas,CapCut: Photo & Video Editor,10,10,0,unchanged
CA,app_store,browser,top_paid,com.liguangming.Shadowrocket,Shadowrocket,1,1,0,unchanged
CA,app_store,browser,top_paid,com.rocanda.landtrackerpro,LandTracker Pro LSD Finder,2,2,0,unchanged
CA,app_store,browser,top_paid,com.openplanetsoftware.Just-Press-Record-for-iOS,Just Press Record,3,3,0,unchanged
CA,app_store,browser,top_paid,nl.jeffreykuiken.NoirApp,Noir - Dark Mode for Safari,4,4,0,unchanged
CA,app_store,browser,top_paid,com.appcom.fqme,FQME,5,5,0,unchanged
CA,app_store,browser,top_paid,site.kaylees.Wipr2,Wipr 2,6,6,0,unchanged
CA,app_store,browser,top_paid,com.RCA.PipeDataBase,Piping DataBase - XTREME,7,7,0,unchanged
CA,app_store,browser,top_paid,com.astech.FORScan-Lite,"FORScan Lite - for Ford, Mazda",,8,,new
CA,app_store,browser,top_paid,com.goblintools,Goblin Tools,9,9,0,unchanged
CA,app_store,browser,top_paid,net.techet.netanalyzer,Network Analyzer Pro,10,10,0,unchanged
CA,google_play,browser,top_paid,com.fulldive.extension.fullroid.pro,Pro Emulator for Game Consoles,1,1,0,unchanged
CA,google_play,browser,top_paid,com.monashuniversity.fodmap,Monash University FODMAP diet,2,2,0,unchanged
CA,google_play,browser,top_paid,org.prowl.torque,Torque Pro (OBD 2 & Car),3,3,0,unchanged
CA,google_play,browser,top_paid,com.appslab.glass.widgets,Glass Widgets,4,4,0,unchanged
CA,google_play,browser,top_paid,net.dinglisch.android.taskerm,Tasker,5,5,0,unchanged
CA,google_play,browser,top_paid,com.facer.pipboy_se,Fallout Pip-Boy SE Watch Face,6,6,0,unchanged
CA,google_play,browser,top_paid,com.mvas.stb.emu.pro,StbEmu (Pro),7,7,0,unchanged
CA,google_play,browser,top_paid,ch.threema.app,Threema. The Secure Messenger,8,8,0,unchanged
CA,google_play,browser,top_paid,com.elf.koalasampler,Koala Sampler,9,9,0,unchanged
CA,google_play,browser,top_paid,com.watchfacestudio.md307digital,MD307 Digital watch face,10,10,0,unchanged
CA,app_store,browser,top_grossing,com.nordvpn.NordVPN,NordVPN - VPN for privacy,1,1,0,unchanged
CA,app_store,browser,top_grossing,com.codeway.cleanerplus,Cleanup: Clean Storage,2,2,0,unchanged
CA,app_store,browser,top_grossing,gen.universe.app.cleaner,Cleaner Guru: Cleaning App,3,3,0,unchanged
CA,app_store,browser,top_grossing,com.adhoclabs.burner,Burner: Second Phone Number,,4,,new
CA,app_store,browser,top_grossing,ai.cleaner.app,AI Cleaner: Clean Up Storage,,5,,new
CA,app_store,browser,top_grossing,com.symantec.mobilesecurity,Norton360 Antivirus & Security,6,6,0,unchanged
CA,app_store,browser,top_grossing,com.expressvpn.iosvpn,ExpressVPN: Super Secure VPN,7,7,0,unchanged
CA,app_store,browser,top_grossing,evolly.app.rokuremote,TV Remote - Universal Control,8,8,0,unchanged
CA,app_store,browser,top_grossing,com.aoklab.fewerphotos,Swipewipe: Photo Cleaner,9,9,0,unchanged
CA,app_store,browser,top_grossing,bp.rmaster.free,Cleaner Kit - Clean Up Storage,10,10,0,unchanged
CA,google_play,browser,top_grossing,com.anthropic.claude,Claude by Anthropic,1,1,0,unchanged
CA,google_play,browser,top_grossing,com.openai.chatgpt,ChatGPT,2,2,0,unchanged
CA,google_play,browser,top_grossing,com.einnovation.temu,Temu: Shop Like a Billionaire,3,3,0,unchanged
CA,google_play,browser,top_grossing,com.zhiliaoapp.musically,TikTok,4,4,0,unchanged
CA,google_play,browser,top_grossing,digital.rbi.timhortons,Tim Hortons,5,5,0,unchanged
CA,google_play,browser,top_grossing,com.whatsapp,WhatsApp Messenger,6,6,0,unchanged
CA,google_play,browser,top_grossing,com.microsoft.office.word,Microsoft Word: Edit Documents,7,7,0,unchanged
CA,google_play,browser,top_grossing,com.microsoft.teams,Microsoft Teams,8,8,0,unchanged
CA,google_play,browser,top_grossing,com.azure.authenticator,Microsoft Authenticator,9,9,0,unchanged
CA,google_play,browser,top_grossing,com.lemon.lvoverseas,CapCut: Photo & Video Editor,10,10,0,unchanged
AU,app_store,books,top_free,com.audible.iphone,Audible: Audiobooks & Podcasts,,1,,new
AU,app_store,books,top_free,com.Scholastic.Book-Clubs,Book Clubs Loop For Parents,2,2,0,unchanged
AU,app_store,books,top_free,com.amazon.Lassen,Kindle,3,3,0,unchanged
AU,app_store,books,top_free,com.overdrive.dewey,"Libby, the library app",,4,,new
AU,app_store,books,top_free,com.bolindadigital.BorrowBoxLibrary,BorrowBox,5,5,0,unchanged
AU,app_store,books,top_free,com.goodreads.Goodreads,Goodreads: Book Tracker & More,6,6,0,unchanged
AU,app_store,books,top_free,com.gnovel.originalstation,"GoodNovel - Booktok, Stories",,7,,new
AU,app_store,books,top_free,com.zhangyue.read.rosanovela,Novelmates-Best Stories&Novels,8,8,0,unchanged
AU,app_store,books,top_free,com.fivemobile.wattpad,Wattpad - Read & Write Stories,9,9,0,unchanged
AU,app_store,books,top_free,com.getchaptrs.app,Chaptrs - Islamic Audiobooks,10,10,0,unchanged
AU,google_play,books,top_free,com.anthropic.claude,Claude by Anthropic,1,1,0,unchanged
AU,google_play,books,top_free,com.openai.chatgpt,ChatGPT,2,2,0,unchanged
AU,google_play,books,top_free,au.gov.mygov.mygovapp,myGov,3,3,0,unchanged
AU,google_play,books,top_free,com.wbd.stream,HBO Max: Stream TV & Movies,,4,,new
AU,google_play,books,top_free,com.einnovation.temu,Temu: Shop Like a Billionaire,5,5,0,unchanged
AU,google_play,books,top_free,com.whatsapp,WhatsApp Messenger,6,6,0,unchanged
AU,google_play,books,top_free,com.zhiliaoapp.musically,TikTok,7,7,0,unchanged
AU,google_play,books,top_free,com.microsoft.office.word,Microsoft Word: Edit Documents,8,8,0,unchanged
AU,google_play,books,top_free,com.alibaba.aliexpresshd,AliExpress - Shopping App,9,9,0,unchanged
AU,google_play,books,top_free,com.azure.authenticator,Microsoft Authenticator,10,10,0,unchanged
AU,app_store,books,top_paid,com.kehot.siddur.annotated,Siddur – Annotated Edition,1,1,0,unchanged
AU,app_store,books,top_paid,com.chin-dictionary.app,EngChinMyanmarDictionary,2,2,0,unchanged
AU,app_store,books,top_paid,com.jordanthomasg.Tongan-Dictionary,Tongan-English Dictionary,3,3,0,unchanged
AU,app_store,books,top_paid,biz.bookdesign.librivox.pro,LibriVox Audiobooks – Ad-Free,4,4,0,unchanged
AU,app_store,books,top_paid,com.equiinkpublications.equine,Equine Anatomy Learning Aid,,5,,new
AU,app_store,books,top_paid,com.lazyyards.spells,Spells and Witchcraft Handbook,6,6,0,unchanged
AU,app_store,books,top_paid,com.statusquotes,Funny Status Quotes Collection,7,7,0,unchanged
AU,app_store,books,top_paid,com.smskidukan,Best Status Quotes Collection,8,8,0,unchanged
AU,app_store,books,top_paid,com.timbueno.boundapp,Bound - Audiobook Player,,9,,new
AU,app_store,books,top_paid,com.yourcompany.DialingGod,Dialing God,10,10,0,unchanged
AU,google_play,books,top_paid,ch.threema.app,Threema. The Secure Messenger,1,1,0,unchanged
AU,google_play,books,top_paid,com.grofsoft.tripview,TripView,2,2,0,unchanged
AU,google_play,books,top_paid,com.monashuniversity.fodmap,Monash University FODMAP diet,3,3,0,unchanged
AU,google_play,books,top_paid,org.prowl.torque,Torque Pro (OBD 2 & Car),4,4,0,unchanged
AU,google_play,books,top_paid,com.t11.skyview,SkyView® Explore the Universe,5,5,0,unchanged
AU,google_play,books,top_paid,com.appslab.glass.widgets,Glass Widgets,6,6,0,unchanged
AU,google_play,books,top_paid,com.imageline.FLM,FL STUDIO MOBILE,7,7,0,unchanged
AU,google_play,books,top_paid,com.watchfacestudio.md307digital,MD307 Digital watch face,8,8,0,unchanged
AU,google_play,books,top_paid,com.photopills.android.photopills,PhotoPills,,9,,new
AU,google_play,books,top_paid,net.dinglisch.android.taskerm,Tasker,10,10,0,unchanged
AU,app_store,books,top_grossing,com.audible.iphone,Audible: Audiobooks & Podcasts,,1,,new
AU,app_store,books,top_grossing,com.gnovel.originalstation,"GoodNovel - Booktok, Stories",,2,,new
AU,app_store,books,top_grossing,com.dreame.reader,Dreame - Read Best Romance,3,3,0,unchanged
AU,app_store,books,top_grossing,org.reactjs.native.Inkitt.App.Colt,GALATEA: Novels & Audiobooks,4,4,0,unchanged
AU,app_store,books,top_grossing,com.qvon.novellair,Novellair,5,5,0,unchanged
AU,app_store,books,top_grossing,write.read.story.webnovel.book.anystories,AnyStories-Top Novels & Books,6,6,0,unchanged
AU,app_store,books,top_grossing,com.kw.literie,Literie,7,7,0,unchanged
AU,app_store,books,top_grossing,com.qvon.novelbar,NovelBar,8,8,0,unchanged
AU,app_store,books,top_grossing,com.viz.wsj,Shonen Jump Manga & Comics,,9,,new
